District #,Formatted API #,Operator Name,Operator Code,Field Name,Field Code,API #,Lease Name,Well #,Well Status,Pool WellTypes,Section,Township,Range,Base Meridian,Area Code,Area Name,Latitude,Longitude,GISSourceCode,DatumCode,BLMWell,DryHole,Directional,Hydraulically Fractured,SPUD Date,Completion Date,Abandoned Date
4,029-00522,California Resources Production Corporation,C0885,Ant Hill,18,2900522,nan,81,I,OG,21,29S,29E,MD,0,Any Area,35.39703,-118.862005,gps,83,Y,N,N, ,,,
4,029-00896,California Resources Production Corporation,C0885,Ant Hill,18,2900896,Southern Pacific,4715,P,OG,15,29S,29E,MD,0,Any Area,35.400595,-118.85363,gps,83,Y,N,N, ,,,
4,029-00904,California Resources Production Corporation,C0885,Ant Hill,18,2900904,Siegfus,122,I,OG,22,29S,29E,MD,0,Any Area,35.397059,-118.860001,gps,83,Y,N,N, ,,,
4,029-00905,California Resources Production Corporation,C0885,Ant Hill,18,2900905,Southern Pacific,2715,A,OG,15,29S,29E,MD,0,Any Area,35.400649,-118.858041,gps,83,Y,N,N, ,,,
4,029-00951,California Resources Production Corporation,C0885,Ant Hill,18,2900951,Southern Pacific,36-15,P,WD,15,29S,29E,MD,0,Any Area,35.402356,-118.856171,gps,83,N,N,N, ,,,
4,029-00952,California Resources Production Corporation,C0885,Ant Hill,18,2900952,Southern Pacific,35-15,A,WD,15,29S,29E,MD,0,Any Area,35.40448,-118.856232,gps,83,Y,N,N, ,,,
4,029-00953,California Resources Production Corporation,C0885,Ant Hill,18,2900953,Southern Pacific,3715,P,OG,15,29S,29E,MD,0,Any Area,35.400629,-118.85608,gps,83,Y,N,N, ,,,
4,029-00954,California Resources Production Corporation,C0885,Ant Hill,18,2900954,Southern Pacific,8-15,P,OG,15,29S,29E,MD,0,Any Area,35.398904,-118.860268,gps,83,Y,N,N, ,1944-10-09,,
4,029-00955,California Resources Production Corporation,C0885,Ant Hill,18,2900955,Southern Pacific,715,P,OG,15,29S,29E,MD,0,Any Area,35.400677,-118.860269,gps,83,Y,N,N, ,,,
4,029-00956,California Resources Production Corporation,C0885,Ant Hill,18,2900956,Southern Pacific,38-15,I,"OG, SC",15,29S,29E,MD,0,Any Area,35.398819,-118.856006,gps,83,Y,N,N, ,,,
4,029-00957,California Resources Production Corporation,C0885,Ant Hill,18,2900957,Southern Pacific,6-15,P,OG,15,29S,29E,MD,0,Any Area,35.402494,-118.8605,hud,83,N,N,N, ,,,
4,029-00958,California Resources Production Corporation,C0885,Ant Hill,18,2900958,Southern Pacific,5815,I,OG,15,29S,29E,MD,0,Any Area,35.398753,-118.85138,gps,83,Y,N,N, ,,,
4,029-00959,California Resources Production Corporation,C0885,Ant Hill,18,2900959,Southern Pacific,4815,P,OG,15,29S,29E,MD,0,Any Area,35.398801,-118.853652,gps,83,Y,N,N, ,,,
4,029-00960,California Resources Production Corporation,C0885,Ant Hill,18,2900960,Southern Pacific,2815,P,OG,15,29S,29E,MD,0,Any Area,35.39883,-118.857961,gps,83,Y,N,N, ,,,
4,029-00961,California Resources Production Corporation,C0885,Ant Hill,18,2900961,Southern Pacific,5715,I,OG,15,29S,29E,MD,0,Any Area,35.40029,-118.85181,gps,83,Y,N,N, ,,,
4,029-00962,California Resources Production Corporation,C0885,Ant Hill,18,2900962,Southern Pacific,6715,P,OG,15,29S,29E,MD,0,Any Area,35.400538,-118.849955,gps,83,Y,N,N, ,,,
4,029-00963,California Resources Production Corporation,C0885,Ant Hill,18,2900963,Southern Pacific,6615,I,WS,15,29S,29E,MD,0,Any Area,35.40235,-118.849251,gps,83,Y,N,N, ,,,
4,029-00964,California Resources Production Corporation,C0885,Ant Hill,18,2900964,Southern Pacific,76-15,P,OG,15,29S,29E,MD,0,Any Area,35.402209,-118.84706,gps,83,N,N,N, ,,,
