District #,Formatted API #,Operator Name,Operator Code,Field Name,Field Code,API #,Lease Name,Well #,Well Status,Pool WellTypes,Section,Township,Range,Base Meridian,Area Code,Area Name,Latitude,Longitude,GISSourceCode,DatumCode,BLMWell,DryHole,Directional,Hydraulically Fractured,SPUD Date,Completion Date,Abandoned Date
5,019-00519,Aera Energy LLC,A0610,Coalinga,150,01900519,nan,16,P,OG,10,19S,15E,MD,0,Any Area,36.282417403,-120.321341686,gps,83,N,N,N, ,1921-02-01,1921-04-22,2001-08-14
5,019-00520,Aera Energy LLC,A0610,Coalinga,150,01900520,nan,17,P,OG,10,19S,15E,MD,0,Any Area,36.287834368,-120.321080829,gps,83,N,N,N, ,1921-05-12,1944-01-04,2001-01-29
5,019-00521,Aera Energy LLC,A0610,Coalinga,150,01900521,nan,154,I,OG,10,19S,15E,MD,0,Any Area,36.289571379,-120.32419504,gps,83,N,N,N, ,1953-10-17,1953-10-22,
5,019-00522,Aera Energy LLC,A0610,Coalinga,150,01900522,nan,164,P,OG,10,19S,15E,MD,0,Any Area,36.29043636,-120.322219963,opr,83,N,N,N, ,1944-10-03,1944-10-09,1979-03-04
5,019-00523,Aera Energy LLC,A0610,Coalinga,150,01900523,nan,165,P,OG,10,19S,15E,MD,0,Any Area,36.288920368,-120.322126915,opr,83,N,N,N, ,1944-06-29,1944-07-08,1990-02-28
5,019-00524,Aera Energy LLC,A0610,Coalinga,150,01900524,nan,166,P,OG,10,19S,15E,MD,0,Any Area,36.286890386,-120.32277489,gps,83,N,N,N, ,1944-05-24,1944-05-27,1979-03-04
5,019-00525,Aera Energy LLC,A0610,Coalinga,150,01900525,nan,167,P,OG,10,19S,15E,MD,0,Any Area,36.285206399,-120.323114859,opr,83,N,N,N, ,1944-07-05,1944-07-09,1979-03-09
5,019-00526,Aera Energy LLC,A0610,Coalinga,150,01900526,nan,177X,P,OG,10,19S,15E,MD,0,Any Area,36.283912389,-120.3207607,gps,83,N,N,N, ,1952-12-29,1953-01-03,1990-03-09
5,019-00527,Aera Energy LLC,A0610,Coalinga,150,01900527,nan,182,P,OG,10,19S,15E,MD,0,Any Area,36.292655339,-120.32130698,opr,83,N,N,N, ,1944-09-14,1944-10-09,1990-02-19
5,019-00528,Aera Energy LLC,A0610,Coalinga,150,01900528,nan,183,P,OG,10,19S,15E,MD,0,Any Area,36.291156343,-120.320533897,gps,83,N,N,N, ,1944-06-24,1944-06-28,2001-09-07
5,019-00529,Aera Energy LLC,A0610,Coalinga,150,01900529,nan,184,P,OG,10,19S,15E,MD,0,Any Area,36.289632352,-120.320533853,gps,83,N,N,N, ,1944-05-17,1944-05-21,2001-08-16
5,019-00530,Aera Energy LLC,A0610,Coalinga,150,01900530,nan,264,P,OG,10,19S,15E,MD,0,Any Area,36.289992367,-120.322822981,opr,83,N,N,N, ,1962-12-10,,1990-02-26
5,019-00531,Aera Energy LLC,A0610,Coalinga,150,01900531,nan,266,P,OG,10,19S,15E,MD,0,Any Area,36.288170373,-120.322181896,opr,83,N,N,N, ,1962-06-05,1962-06-13,1990-02-12
5,019-00532,Aera Energy LLC,A0610,Coalinga,150,01900532,nan,274,P,OG,10,19S,15E,MD,0,Any Area,36.289595364,-120.322156936,gps,83,N,N,N, ,1962-04-30,1962-05-03,2001-08-16
5,019-00533,Aera Energy LLC,A0610,Coalinga,150,01900533,nan,275,A,OG,10,19S,15E,MD,0,Any Area,36.289610359,-120.321445899,gps,83,N,N,N, ,1960-07-01,1960-07-07,
5,019-00534,Aera Energy LLC,A0610,Coalinga,150,01900534,nan,276,P,OG,10,19S,15E,MD,0,Any Area,36.288692365,-120.321481875,gps,83,N,N,N, ,1961-01-28,1961-02-03,2000-09-28
5,019-00535,Aera Energy LLC,A0610,Coalinga,150,01900535,nan,283,P,OG,10,19S,15E,MD,0,Any Area,36.291693336,-120.320035887,opr,83,N,N,N, ,1960-07-11,1960-07-13,1990-02-14
5,019-00536,Aera Energy LLC,A0610,Coalinga,150,01900536,nan,284,P,OG,10,19S,15E,MD,0,Any Area,36.290390348,-120.320612879,gps,83,N,N,N, ,1960-07-08,1960-07-10,2002-10-22
5,019-00537,Aera Energy LLC,A0610,Coalinga,150,01900537,nan,285,P,OG,10,19S,15E,MD,0,Any Area,36.28918936,-120.321167873,gps,83,N,N,N, ,1962-04-27,1962-05-03,2001-08-30
5,019-00538,Aera Energy LLC,A0610,Coalinga,150,01900538,nan,286,A,OG,10,19S,15E,MD,0,Any Area,36.288941358,-120.320754844,gps,83,N,N,N, ,1962-09-16,1962-09-22,
5,019-00539,Aera Energy LLC,A0610,Coalinga,150,01900539,nan,287,A,OG,10,19S,15E,MD,0,Any Area,36.288474361,-120.320755831,gps,83,N,N,N, ,1962-12-07,1962-12-13,
5,019-00540,Aera Energy LLC,A0610,Coalinga,150,01900540,nan,296,A,OG,10,19S,15E,MD,0,Any Area,36.288653354,-120.319975796,gps,83,N,N,N, ,1964-01-28,1964-02-03,
5,019-00541,Aera Energy LLC,A0610,Coalinga,150,01900541,nan,297,P,OG,10,19S,15E,MD,0,Any Area,36.285419374,-120.319902699,gps,83,N,N,N, ,1963-05-07,1963-05-13,2001-08-17
5,019-00542,Aera Energy LLC,A0610,Coalinga,150,01900542,nan,263,P,OG,10,19S,15E,MD,0,Any Area,36.290879363,-120.323026018,gps,83,N,Y,N, ,1963-05-04,,2001-01-20
5,019-00543,Aera Energy LLC,A0610,Coalinga,150,01900543,nan,273,P,OG,10,19S,15E,MD,0,Any Area,36.291236351,-120.321689959,opr,83,N,N,N, ,1963-01-21,,1990-02-28
5,019-00544,Aera Energy LLC,A0610,Coalinga,150,01900544,nan,1,P,OG,14,19S,15E,MD,0,Any Area,36.272339447,-120.319095279,opr,83,N,N,N, ,,,1952-01-11
